"Vaccine/Sample","Dose","Geography Type","Geography","Survey Year","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2024","Age","13-17 Years","94.2","89.6 to 96.9","197"
"HPV","Up-to-Date, Males","States/Local Areas","North Dakota","2024","Age","13-17 Years","70.7","59.4 to 80.0","101"
"HPV","Up-to-Date, Females","States/Local Areas","North Dakota","2024","Age","13-17 Years","70.0","58.3 to 79.5","96"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2022","Age","13-17 Years","96.0","91.9 to 98.0","280"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2024","Age","13-17 Years","70.4","62.4 to 77.2","197"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2022","Age","13-17 Years","97.6","93.8 to 99.1","280"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2021","Age","13-17 Years","98.3","95.7 to 99.3","191"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018","Age","13-17 Years","92.5","87.5 to 95.7","287"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2019","Age","13-17 Years","95.8","93.1 to 97.5","319"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2021","Age","13-17 Years","95.5","90.9 to 97.8","191"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2020","Age","13-17 Years","93.8","89.7 to 96.3","401"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2017","Age","13-17 Years","93.0","89.5 to 95.3","379"
"HPV","≥3 Doses, Males and Females","States/Local Areas","North Dakota","2013","Age","13-17 Years","29.5","23.9 to 35.8","344"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2020","Age","13-17 Years","97.0","94.0 to 98.5","401"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2019","Age","13-17 Years","97.4","94.2 to 98.9","319"
"HPV","≥3 Doses, Males and Females","States/Local Areas","North Dakota","2014","Age","13-17 Years","33.3","27.4 to 39.8","327"
"HPV","≥3 Doses, Males and Females","States/Local Areas","North Dakota","2015","Age","13-17 Years","42.7","36.5 to 49.1","323"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2022","Age","13-17 Years","93.8","89.1 to 96.6","280"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2021","Age","13-17 Years","94.9","90.0 to 97.5","191"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2020","Age","13-17 Years","91.0","85.9 to 94.4","401"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2018","Age","13-17 Years","96.4","92.4 to 98.4","287"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2011","Age","13-15 Years","31.5","19.0 to 47.4","78"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2008","Age","13-15 Years","13.1","7.7 to 21.5","108"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2016","Age","13-17 Years","92.7","87.7 to 95.7","293"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2015","Age","13-17 Years","91.6","86.7 to 94.8","323"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2016","Age","13-17 Years","92.0","87.5 to 94.9","293"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2017","Age","13-17 Years","91.9","88.3 to 94.4","379"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2019","Age","13-17 Years","96.7","94.5 to 98.1","319"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2009","Age","13-15 Years","31.5","21.2 to 44.0","77"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2013","Age","13-17 Years","93.7","89.6 to 96.3","344"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2014","Age","13-17 Years","91.8","87.8 to 94.6","327"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2015","Age","13-17 Years","89.1","83.8 to 92.8","323"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2014","Age","13-17 Years","91.3","86.2 to 94.7","327"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2013","Age","13-17 Years","96.1","93.7 to 97.7","344"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2012","Age","13-17 Years","89.8","83.7 to 93.8","324"
"HPV","≥3 Doses, Males and Females","States/Local Areas","North Dakota","2011","Age","13-17 Years","14.5","9.9 to 20.8","314"
"HPV","≥3 Doses, Males and Females","States/Local Areas","North Dakota","2012","Age","13-17 Years","22.6","17.5 to 28.6","324"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2022","Age","13-15 Years","95.3","88.9 to 98.1","177"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2012","Age","13-17 Years","88.1","82.3 to 92.2","324"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2016","Age","13-17 Years","92.0","87.5 to 94.9","293"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018","Age","13-17 Years","90.2","85.0 to 93.8","287"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2008","Age","13-17 Years","47.4","41.7 to 53.1","362"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2009","Age","13-17 Years","66.0","59.5 to 72.0","272"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2017","Age","13-17 Years","90.6","86.8 to 93.5","379"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2010","Age","13-17 Years","76.8","71.2 to 81.5","299"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2011","Age","13-17 Years","84.2","76.0 to 90.0","314"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018-2022","Overall","Overall","93.4","91.6 to 94.8","1478"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018-2022","Overall","Overall","94.8","93.2 to 96.0","1478"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018-2022","Urbanicity","Living In a MSA Principal City","96.4","94.1 to 97.9","468"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018-2022","Urbanicity","Living In a MSA Non-Principal City","92.4","86.2 to 95.9","215"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018-2022","Urbanicity","Living In a Non-MSA","94.4","92.0 to 96.1","795"
